КРКА-Рус ООО; КРКА Рус
Тева Фармацевтические Предприятия Лтд/пр.Балканфарма-Разград АД; ['Тева Фармацевтические Предприятия Лтд', 'Балканфарма-Разград АД']
Анжеро-Судженский химико-фармацевтический завод ООО (Асфарма ООО)/Авексима Сибирь ООО; ['Анжеро-Судженский химико-фармацевтический завод  (Асфарма )', 'Авексима Сибирь']
ГлаксоСмитКляйн Хелскер АО/пр.Фамар Орлеан; ['ГлаксоСмитКляйн Хелскер', 'Фамар Орлеан']
Фармаклаб ООО/пр.Фермент Фирма ООО; ['Фармаклаб', 'Фермент Фирма']
Янссен Фармацевтика Н.В.; Янссен Фармацевтика Н В
Сан Фармасьютикал Индастриз Лтд/пр.Унимед Текнолоджис Лтд.; ['Сан Фармасьютикал Индастриз Лтд', 'Унимед Текнолоджис Лтд.']
Эгис ФЗ ЗАО/пр.Актавис Лтд; ['Эгис ФЗ', 'Актавис Лтд']
Промомед Рус ООО/пр.Биохимик ПАО/ОАО; ['Промомед Рус', 'Биохимик', '']
Д-р Фальк Фарма ГмбХ/пр.Вифор АГ; ['Д-р Фальк Фарма ГмбХ', 'Вифор АГ']
Ципла Лтд; Ципла Лтд
Берлин-Хеми АГ/Менарини Групп; ['Берлин-Хеми АГ', 'Менарини Грп']
Бауш Хелс ООО/Г.Л. Фарма ГмбХ; ['Бауш Хелс', 'Г.Л. Фарма ГмбХ']
Д-р Реддис Лабораторис Лтд/пр.Софаримекс-Индустрия Кимика э Фарма; ['Д-р Реддис Лабораторис Лтд', 'Софаримекс-Индустрия Кимика э Фарма']
Хемофарм АД/пр.Хемофарм ООО; ['Хемофарм АД', 'Хемофарм']
Кревель Мойзельбах ГмбХ; Кревель Мойзельбах ГмбХ
Тева Фармацевтические Предприятия Лтд/пр.Адифарм ЕАД; ['Тева Фармацевтические Предприятия Лтд', 'Адифарм ЕАД']
Балканфарма АО; Балканфарма
Новартис Фармасьютика С.А.; Новартис Фармасьютика С А
Самарамедпром ОАО; Самарамедпром
Берлин-Хеми/А. Менарини/пр.Берлин-Хеми АГ; ['Берлин-Хеми', 'А. Менарини', 'Берлин-Хеми АГ']
